"Penduduk Indonesia menurut Provinsi 1971, 1980, 1990, 1995, 2000 dan 2010",,,,,,
,,,,,,
Provinsi,Penduduk,,,,,
,1971,1980,1990,1995,2000,2010
Aceh,2008595,2611271,3416156,3847583,3930905,4494410
Sumatera Utara,6621831,8360894,10256027,11114667,11649655,12982204
Sumatera Barat,2793196,3406816,4000207,4323170,4248931,4846909
Riau,1641545,2168535,3303976,3900534,4957627,5538367
Jambi,1006084,1445994,2020568,2369959,2413846,3092265
Sumatera Selatan,3440573,4629801,6313074,7207545,6899675,7450394
Bengkulu,519316,768064,1179122,1409117,1567432,1715518
Lampung,2777008,4624785,6017573,6657759,6741439,7608405
Kepulauan Bangka Belitung,-,-,-,-,900197,1223296
Kepulauan Riau,-,-,-,-,-,1679163
DKI Jakarta,4579303,6503449,8259266,9112652,8389443,9607787
Jawa Barat,21623529,27453525,35384352,39206787,35729537,43053732
Jawa Tengah,21877136,25372889,28520643,29653266,31228940,32382657
DI Yogyakarta,2489360,2750813,2913054,2916779,3122268,3457491
Jawa Timur,25516999,29188852,32503991,33844002,34783640,37476757
Banten,-,-,-,-,8098780,10632166
Bali,2120322,2469930,2777811,2895649,3151162,3890757
Nusa Tenggara Barat,2203465,2724664,3369649,3645713,4009261,4500212
Nusa Tenggara Timur,2295287,2737166,3268644,3577472,3952279,4683827
Kalimantan Barat,2019936,2486068,3229153,3635730,4034198,4395983
Kalimantan Tengah,701936,954353,1396486,1627453,1857000,2212089
Kalimantan Selatan,1699105,2064649,2597572,2893477,2985240,3626616
Kalimantan Timur,733797,1218016,1876663,2314183,2455120,3553143
Sulawesi Utara,1718543,2115384,2478119,2649093,2012098,2270596
Sulawesi Tengah,913662,1289635,1711327,1938071,2218435,2635009
Sulawesi Selatan,5180576,6062212,6981646,7558368,8059627,8034776
Sulawesi Tenggara,714120,942302,1349619,1586917,1821284,2232586
Gorontalo,-,-,-,-,835044,1040164
Sulawesi Barat,-,-,-,-,-,1158651
Maluku,1089565,1411006,1857790,2086516,1205539,1533506
Maluku Utara,-,-,-,-,785059,1038087
Papua Barat,-,-,-,-,-,760422
Papua,923440,1173875,1648708,1942627,2220934,2833381
INDONESIA,119208229,147490298,179378946,194754808,206264595,237641326
"Catatan : Termasuk Penghuni Tidak Tetap (Tuna Wisma, Pelaut, Rumah Perahu, dan Penduduk Ulang-alik/Ngelaju)",,,,,,
"Sumber : Sensus Penduduk 1971, 1980, 1990, 2000 dan Survei Penduduk Antar Sensus (SUPAS) 1995",,,,,,